OTUID	Mim109	Mim116	Mim11	Mim124	Mim129	Mim12	Mim132	Mim139	Mim141	Mim143	Mim151	Mim152	Mim161	Mim162	Mim172	Mim176	Mim181	Mim182	Mim190	Mim191	Mim1	Mim212	Mim21	Mim224	Mim228	Mim22	Mim237	Mim238	Mim250	Mim255	Mim261	Mim266	Mim271	Mim277	Mim286	Mim2	Mim31	Mim32	Mim46	Mim47	Mim57	Mim58	Mim66	Mim67	Mim83	Mim87	Mim93	Mim97	Mim98
D_0__Archaea;D_1__Aenigmarchaeota;D_2__Deep Sea Euryarchaeotic Group(DSEG)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.473472309206406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002236736154603203	0.0	4.473472309206406e-05	0.0	4.473472309206406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.473472309206406e-05	0.0	0.0	0.0	4.473472309206406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria	0.00013420416927619218	0.0	8.946944618412812e-05	4.473472309206406e-05	8.946944618412812e-05	0.0	0.0	0.0	0.00017893889236825623	4.473472309206406e-05	0.0	0.0	4.473472309206406e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.473472309206406e-05	4.473472309206406e-05	0.0	4.473472309206406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026840833855238435	4.473472309206406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00026840833855238435	0.00013420416927619218	0.0016999194774984343	0.0004920819540127047	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia	4.473472309206406e-05	0.0	0.0	4.473472309206406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017893889236825623	4.473472309206406e-05	0.0	0.0	0.00013420416927619218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004026125078285765	8.946944618412812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00026840833855238435	0.0	0.00031314306164444844	0.00013420416927619218	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata	0.00026840833855238435	0.0	0.00026840833855238435	0.00013420416927619218	4.473472309206406e-05	0.00017893889236825623	0.0	0.0	0.0	8.946944618412812e-05	8.946944618412812e-05	0.0	0.0	0.0	0.0034445736780889325	0.0	0.0002236736154603203	0.00017893889236825623	0.0002236736154603203	0.00013420416927619218	0.0002236736154603203	0.0	4.473472309206406e-05	0.0	0.0	0.00017893889236825623	0.0	0.0	8.946944618412812e-05	0.0	8.946944618412812e-05	0.0004026125078285765	0.00040261250782857655	8.946944618412812e-05	4.473472309206406e-05	0.0	0.00035787778473651247	0.00026840833855238435	0.0	0.0	0.0	0.0	0.0	4.473472309206406e-05	0.00040261250782857655	0.00013420416927619218	0.0005368166771047687	0.00031314306164444844	0.00013420416927619218
D_0__Archaea;D_1__Miscellaneous Crenarchaeotic Group;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.946944618412812e-05	4.473472309206406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Miscellaneous Crenarchaeotic Group;D_2__uncultured archaeon	8.946944618412812e-05	4.473472309206406e-05	0.0002236736154603203	0.0007157555694730249	4.473472309206406e-05	0.0002236736154603203	0.00017893889236825623	0.0	0.0	0.0	0.0	0.0	4.473472309206406e-05	0.0	0.0	0.0	0.0005368166771047687	0.00013420416927619218	0.00013420416927619218	4.473472309206406e-05	0.00013420416927619218	8.946944618412812e-05	8.946944618412812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.473472309206406e-05	8.946944618412812e-05	0.0	4.473472309206406e-05	0.00031314306164444844	8.946944618412812e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.946944618412812e-05	0.0005368166771047687	0.00035787778473651247	0.00035787778473651247	4.473472309206406e-05
D_0__Archaea;D_1__Parvarchaeota;D_2__uncultured archaeon	0.00013420416927619218	0.0	0.0	4.473472309206406e-05	0.0	0.0	0.0	0.0	4.473472309206406e-05	0.0	4.473472309206406e-05	0.0	0.0	0.0	4.473472309206406e-05	4.473472309206406e-05	0.00017893889236825623	0.0	0.0	0.0	0.0	0.0	0.0	4.473472309206406e-05	0.0	4.473472309206406e-05	0.0	0.00013420416927619218	0.0	0.0	4.473472309206406e-05	0.0	4.473472309206406e-05	0.0	8.946944618412812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.946944618412812e-05	4.473472309206406e-05	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Marine Group I	0.000760490292565089	0.0	4.473472309206406e-05	4.473472309206406e-05	0.0	0.0	0.0	4.473472309206406e-05	0.0037577167397333812	0.0047866153708508545	0.003757716739733381	0.0002236736154603203	0.000805225015657153	0.002236736154603203	0.007783841818019146	0.002236736154603203	0.014180907220184306	0.006352330679073095	0.007023351525454058	0.007068086248546121	0.0	0.0019235930929587545	0.0	0.0017446542005904982	0.0	0.0	0.00013420416927619218	0.0004920819540127047	0.007202290417822314	0.001565715308222242	0.003220900062628612	0.0019683278160508187	0.007649637648742954	0.004384002863022278	0.005144493155587367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.473472309206406e-05	0.00031314306164444844	0.00040261250782857655	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Soil Crenarchaeotic Group(SCG)	0.011317884942292206	0.0028182875548000363	0.009125883510781068	0.006307595955981032	0.0043392681399302135	0.007649637648742954	0.002370940323879395	0.009394291849333453	0.0018341236467746267	0.003668247293549253	0.004697145924666726	0.008633801556768362	0.0035340431242730603	0.005323432047955622	0.0053234320479556224	0.005010288986311175	0.0016551847544063704	0.0016999194774984343	0.0008946944618412813	0.0009394291849333452	0.015120336405117653	0.0008499597387492171	0.011362619665384275	0.002013062539142883	0.0028182875548000354	0.0103337210342668	0.006531269571441352	0.003981390355193701	0.0034893084011809973	0.0033998389549968686	0.005099758432495303	0.0018788583698666902	0.0037577167397333817	0.00035787778473651247	0.0009394291849333452	0.010960007157555697	0.010736333542095376	0.006933882079269928	0.019728012883600248	0.00814171960275566	0.013196743312158898	0.01440458083564463	0.01758074617518117	0.016551847544063705	0.017759685067549425	0.020667442068533597	0.005055023709403238	0.00814171960275566	0.006889147356177864
D_0__Archaea;D_1__Thaumarchaeota;D_2__South African Gold Mine Gp 1(SAGMCG-1)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044734723092064053	0.0005815514001968327	0.001163102800393666	4.473472309206406e-05	0.00035787778473651247	0.0005368166771047687	0.006039187617428648	0.000760490292565089	0.004920819540127046	0.002773552831707972	0.0020130625391428826	0.0010736333542095374	0.0	0.00026840833855238435	0.0	0.0007157555694730249	0.0	0.0	0.0004026125078285765	8.946944618412812e-05	0.0023709403238793953	0.0009841639080254093	0.004428737586114341	0.0019683278160508187	0.008454862664400107	0.0020577972622349465	0.0021472667084190752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
